Type Water Body,State Name,MIN Temprature,MAX Temprature,MIN Dissolved O2,MAX Dissolved O2,MIN pH,MAX pH,MIN Conductivity,MAX Conductivity,MIN BOD,MAX BOD,MIN N+,MAX N+,MIN Fecal Coliform,MAX Fecal Coliform,MIN Total Coliform,MAX Total Coliform
LAKE,ANDHRA PRADESH,24.0,27.0,3.2,6.5,7.0,8.0,245.0,5160.0,1.6,3.2,1.02,3.6,9.0,21.0,120.0,210.0
LAKE,ANDHRA PRADESH,26.0,29.0,3.0,6.8,6.9,7.8,599.0,1179.0,1.9,4.6,0.77,3.56,15.0,23.0,150.0,240.0
LAKE,ANDHRA PRADESH,18.0,24.0,4.2,6.0,7.2,8.2,28000.0,56900.0,2.4,2.8,1.2,1.64,3.0,3.0,47.0,150.0
TANK,ANDHRA PRADESH,22.0,29.0,5.4,6.2,6.3,7.9,180.0,476.0,1.0,2.5,0.34,2.3,24.0,365.0,170.0,549.0
Wetland,ANDHRA PRADESH,21.0,30.0,5.4,6.5,7.3,8.0,496.0,734.0,1.0,2.3,0.35,1.0,43.0,289.0,240.0,727.0
Wetland,ANDHRA PRADESH,22.0,23.0,6.8,7.5,7.1,9.0,158.0,320.0,1.2,2.2,0.42,1.79,3.0,4.0,63.0,150.0
Wetland,ANDHRA PRADESH,20.0,29.0,5.1,6.4,7.1,7.9,381.0,608.0,1.0,2.2,0.32,0.67,45.0,322.0,210.0,602.0
Wetland,ANDHRA PRADESH,22.0,31.0,4.2,7.3,7.1,8.5,274.0,18950.0,1.5,2.5,0.38,2.82,4.0,15.0,2.0,150.0
Wetland,ANDHRA PRADESH,27.0,31.0,4.5,7.2,7.1,8.6,12230.0,56900.0,1.4,3.6,0.63,2.86,4.0,15.0,64.0,120.0
Wetland,ANDHRA PRADESH,21.0,30.0,3.8,5.8,6.6,8.1,802.0,1326.0,2.2,3.5,1.08,4.51,191.0,659.0,540.0,1120.0
Wetland,ANDHRA PRADESH,25.0,26.0,6.1,7.5,7.3,7.9,16170.0,26800.0,2.4,2.8,1.12,1.8,3.0,3.0,63.0,150.0
Wetland,ANDHRA PRADESH,23.0,30.0,4.3,5.6,6.8,8.1,733.0,1303.0,1.8,3.2,0.65,2.91,170.0,525.0,430.0,1120.0
Wetland,ANDHRA PRADESH,24.0,28.0,5.1,6.2,7.1,8.0,24000.0,34500.0,2.4,2.8,1.03,1.81,3.0,3.0,71.0,150.0
Wetland,ANDHRA PRADESH,21.0,27.0,5.3,6.3,7.0,7.9,346.0,560.0,1.0,1.7,0.33,2.57,84.0,376.0,220.0,659.0
Wetland,ANDHRA PRADESH,22.0,32.0,2.0,8.0,7.2,8.3,330.0,58500.0,1.8,4.1,1.0,6.16,7.0,28.0,2.0,1100.0
Wetland,ANDHRA PRADESH,24.0,30.0,5.8,8.0,6.8,8.2,460.0,1340.0,1.5,4.1,0.32,1.92,4.0,21.0,64.0,210.0
Wetland,ANDHRA PRADESH,22.0,32.0,3.5,8.5,6.9,8.6,271.0,53100.0,1.5,22.0,1.02,3.87,9.0,23.0,120.0,460.0
Wetland,ANDHRA PRADESH,23.0,28.0,4.6,6.1,7.1,8.1,931.0,1702.0,1.8,3.0,0.42,2.94,180.0,629.0,430.0,1046.0
Wetland,ANDHRA PRADESH,26.0,32.0,0.3,7.5,6.6,7.7,620.0,1450.0,1.9,54.0,1.96,6.09,21.0,39.0,240.0,2400.0
